"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si8wg7069k","Alzheimers","si8wg7069k_1007_Alzheimers_KnowledgeWarehouse_TJ",6,1,20,0,0,0,0,1,0.48,0,-0.48
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sikjj106e8","PrimaryCareDoctors","sikjj106e8_PrimaryCareDoctors_Facebook_RSOC_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sil611o06qd","MississippiRiverCruise","sil611o06qd_0807_MississippiRiverCruise_FB_TL_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sid61qi06t2","SleepApneaTreatment","sid61qi06t2_SleepApneaTreatment_TriviaLibrary_0619_Facebook_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siim2yn06hi","MemoryLossTrials","siim2yn06hi_1001_MemoryLossTrials_Canada_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siqcr006b1","MedicareMobilityScooters","siqcr006b1_MedicareMobilityScooters_0911_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sik927o064e","Osteoporosis","sik927o064e_Osteoporosis_0924_KnowledgeWarehouse_TJ",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si5b2ee06j2","SeniorLifeInsurance","si5b2ee06j2_SeniorLifeInsurance_0909_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si3nag06x9","SeniorLiving","si3nag06x9_SeniorLiving_0826_Facebook_KnowledgeWarehouse_TJ",122,8,0,3,1,1,0.125,1.161904761904762,8.46,0.162378,-8.297622
"Total","tj","sill1yc06am","Amyloidosis","sill1yc06am_1007_Amyloidosis_KnowledgeWarehouse_TJ",97,8,27,2,1,1,0.125,1.0319148936170213,2.75,0.586365,-2.163635
"Total","tj","sin32f06t6","CreditCardCanada","sin32f06t6_CreditCardCanada_0917_Facebook_KnowledgeWarehouse_TJ",12158,827,4,370,117,164,0.19830713422007254,1.3231037109587551,295.03,413.6426193,118.6126193
"Total","tj","sih79o60609","OnlineHighSchool","sih79o60609_0908_OnlineHighSchool_FB_TJ",1475,63,2,21,9,13,0.20634920634920634,1.0475852272727273,22.06,27.238776278499998,5.178776278499999
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ",4930,196,169,74,37,43,0.2193877551020408,1.1409395973154361,68.26,66.0378308355,-2.222169164500002
"Total","tj","sihw228065b","JeepGrandCherokeeSUVs","sihw228065b_0908_JeepGrandCherokeeSUVs_TJ",98,9,0,7,2,2,0.2222222222222222,1.0315789473684212,2.43,1.208814,-1.221186
"Total","tj","sibz32j06tg","CreditCardCanada","sibz32j06tg_CreditCardCanada_0923_Facebook_KnowledgeWarehouse_TJ",4270,205,2,98,40,46,0.22439024390243903,1.2004498172617375,98.46,121.90131425999999,23.44131426
"Total","tj","siav14706az","CreditCardCanada","siav14706az_CreditCardCanada_1006_Facebook_KnowledgeWarehouse_TJ",1220,44,34,22,7,10,0.22727272727272727,1.1476952022577611,29.15,20.594943,-8.555056999999998
"Total","tj","si551wg06ge","PilotTraining","si551wg06ge_PilotTraining_1001_Facebook_KnowledgeWarehouse_TJ",2373,102,101,44,19,24,0.23529411764705882,1.1701183431952662,33,33.116091,0.11609099999999728
"Total","tj","sinvhr06zg","BachelorDegree","sinvhr06zg_BachelorDegree_0923_Facebook_KnowledgeWarehouse_TJ",4389,264,2,138,53,65,0.24621212121212122,1.2001640689089417,97.04,78.464391557,-18.575608443000007
