"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-03",775,69,69,49,17,26,0.37681159420289856,1.2128325508607198,28.58,20.086880279999995,-8.493119720000003
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-04",648,80,73,62,26,28,0.35,1.1592128801431127,26.4,31.438184999999994,5.038184999999995
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-05",844,105,97,75,31,36,0.34285714285714286,1.1954674220963173,37.4,38.54673299999999,1.1467329999999905
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-06",687,71,64,57,22,27,0.38028169014084506,1.1546218487394957,30.54,22.705482684600003,-7.834517315399996
"Total","tj","sir014i069o","SeniorCaregiver","sir014i069o_SeniorCaregiver_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-07",625,77,77,58,28,36,0.4675324675324675,1.134301270417423,29.27,27.098817557000007,-2.171182442999992
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ",,1988,188,4,138,56,77,0.4095744680851064,1.0457653866386112,60.29999999999999,80.25854329069999,19.9585432907
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-01",80,4,1,5,1,2,0.5,1.0389610389610389,2.62,2.652174,0.032173999999999925
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-02",105,11,0,7,4,5,0.45454545454545453,1.05,3.66,5.078823,1.4188229999999997
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-03",180,28,0,26,8,10,0.35714285714285715,1.0526315789473684,5.83,11.862614999999998,6.032614999999998
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-04",531,57,1,49,17,28,0.49122807017543857,1.0535714285714286,16.99,24.066734290699998,7.076734290699999
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-05",739,60,1,34,15,21,0.35,1.0512091038406828,21.97,23.941734000000007,1.9717340000000085
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-06",255,21,1,15,9,9,0.42857142857142855,1.0240963855421688,6.43,10.392192000000001,3.9621920000000017
"Total","tj","sir4zg069j","JeepGrandCherokeeSUVs","sir4zg069j_0911_JeepGrandCherokeeSUVs_TJ","2025-10-07",98,7,0,2,2,2,0.2857142857142857,1.0103092783505154,2.8,2.264271,-0.5357289999999999
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ",,12706,1512,27,1076,431,534,0.3531746031746032,1.1219426048565122,336.82,440.2686133161,103.44861331610002
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-01",1139,121,0,91,28,38,0.3140495867768595,1.1101364522417154,27.64,30.247413,2.607413000000001
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1018,118,4,77,33,42,0.3559322033898305,1.0969827586206897,27.57,28.199646,0.629646000000001
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-03",970,129,13,87,26,38,0.29457364341085274,1.1047835990888382,25.7,39.22366884,13.523668840000003
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-04",1048,108,0,82,36,44,0.4074074074074074,1.1113467656415694,26.09,34.821770957300004,8.731770957300004
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-05",1607,195,4,130,62,73,0.37435897435897436,1.1348870056497176,52.25,78.19402799999999,25.94402799999999
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-06",3519,422,4,292,127,151,0.3578199052132701,1.0807739557739557,91.39,130.13100456930002,38.74100456930002
"Total","tj","sissti06pc","SeniorGroceryAssistance","sissti06pc_SeniorGroceryAssistance_0911_Facebook_KnowledgeWarehouse_TJ","2025-10-07",3405,419,2,317,119,148,0.3532219570405728,1.1831132731063239,86.18,99.45108194950002,13.271081949500015
"Total","tj","sit24l06mu","HomeValue","sit24l06mu_HomeValue_Facebook_RSOC_SearchAlike","2025-10-06",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ",,32895,1398,1170,572,243,295,0.21101573676680974,1.1682707674823312,464.30999999999995,477.5095469189,13.199546918900069
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-01",2487,99,124,57,23,30,0.30303030303030304,1.1599813432835822,42.3,47.648922,5.348922000000002
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-02",3809,200,137,88,32,40,0.2,1.1507552870090634,71.07,68.550579,-2.519420999999994
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-03",4156,189,147,61,36,41,0.21693121693121692,1.2130764740221833,66.47,69.43499784,2.964997839999995
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-04",5086,239,208,95,41,54,0.22594142259414227,1.1572241183162686,66.61,84.21876229069998,17.608762290699985
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-05",6697,273,218,128,41,51,0.18681318681318682,1.2378927911275417,81.87,79.10329926809997,-2.7667007319000305
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-06",5729,202,167,69,33,36,0.1782178217821782,1.1122112211221122,67.72,62.515155684599996,-5.204844315400003
"Total","tj","sita1a3066g","PilotTraining","sita1a3066g_PilotTraining_0924_Facebook_KnowledgeWarehouse_TJ","2025-10-07",4931,196,169,74,37,43,0.2193877551020408,1.1411710252256422,68.27,66.0378308355,-2.232169164499993
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sitjtw064u","LicensedPracticalNurse","sitjtw064u_LicensedPracticalNurse_0902_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ",,51175,3858,3566,2941,1305,1492,0.3867288750648004,1.0800514963488244,756,1130.0661144412002,374.06611444120017
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-01",433,33,88,31,15,17,0.5151515151515151,1,9.94,13.179681,3.239681000000001
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-02",3477,216,199,164,79,91,0.4212962962962963,1.1062678969137767,56.62,86.95646179759997,30.336461797599974
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-03",5529,393,373,302,148,165,0.4198473282442748,1.0847557386698057,82.98,145.82694842799992,62.84694842799992
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-04",8383,666,600,470,214,244,0.3663663663663664,1.096820620175324,119.05,194.00174487209995,74.95174487209995
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-05",11046,873,783,646,287,334,0.38258877434135163,1.0641618497109826,158.02,238.38046569080015,80.36046569080014
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-06",11984,914,836,740,320,372,0.40700218818380746,1.067712045616536,168.53,256.09273886770006,87.56273886770006
"Total","tj","siv4qd06j2","HomeValue","siv4qd06j2_HomeValue_1001_Facebook_KnowledgeWarehouse_TJ","2025-10-07",10323,763,687,588,242,269,0.35255570117955437,1.090995561192137,160.86,195.62807378499997,34.768073784999956
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ",,4269,261,221,55,17,18,0.06896551724137931,1.4495755517826825,49.91,12.521148,-37.388852
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-02",2658,176,167,43,15,16,0.09090909090909091,1.5136674259681093,31.35,12.151287,-19.198713
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-03",1611,85,53,12,2,2,0.023529411764705882,1.3549201009251473,18.56,0.369861,-18.190139
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-05",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siv83v306fv","DisabilityLawyer","siv83v306fv_1001_DisabilityLawyer_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivw9006sk","FenceConstruction","sivw9006sk_FenceConstruction_0820_FB_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ",,2745,350,19,195,100,127,0.3628571428571429,1.1090909090909091,107.85,105.6737430883,-2.176256911699994
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-01",496,68,2,33,15,22,0.3235294117647059,1.156177156177156,19.3,13.748004000000002,-5.551995999999999
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-02",342,47,0,19,14,15,0.3191489361702128,1.0822784810126582,12.61,7.5265567976,-5.0834432024
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-03",366,51,12,27,12,18,0.35294117647058826,1.2281879194630871,11.66,19.304940000000002,7.644940000000002
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-04",321,43,0,34,12,15,0.3488372093023256,1.1263157894736842,13.65,14.405243290700001,0.7552432907000011
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-05",474,53,0,36,19,25,0.4716981132075472,1.0580357142857142,19.6,20.540816999999997,0.9408169999999956
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-06",310,35,2,18,12,11,0.3142857142857143,1.1071428571428572,14.32,12.205412999999998,-2.114587000000002
"Total","tj","sivy1ra0676","GalapagosCruise","sivy1ra0676_GalapagosCruise_0919_Facebook_KnowledgeWarehouse_TJ","2025-10-07",436,53,3,28,16,21,0.39622641509433965,1.0405727923627686,16.71,17.942768999999995,1.232768999999994
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ",,5424,587,7,401,146,183,0.31175468483816016,1.1257783312577834,228.66,298.60457637900004,69.94457637900004
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-01",441,51,1,48,12,17,0.3333333333333333,1.0862068965517242,21.92,26.88258,4.962579999999999
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-02",462,47,2,32,18,22,0.46808510638297873,1.11864406779661,16.85,35.3292787976,18.479278797599996
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-03",657,37,0,20,10,11,0.2972972972972973,1.1192504258943783,22.9,23.319285,0.41928500000000213
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-04",944,109,1,79,31,44,0.4036697247706422,1.0963995354239258,37.01,65.9950485814,28.9850485814
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-05",1062,149,1,77,25,30,0.20134228187919462,1.193258426966292,49.64,53.04347999999999,3.4034799999999876
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-06",891,90,1,54,23,28,0.3111111111111111,1.1123595505617978,39.61,56.083557000000006,16.473557000000007
"Total","tj","siw01n60656","FatRemovalClinicalTrials","siw01n60656_0910_FatRemovalClinicalTrials_KnowledgeWarehouse_TJ","2025-10-07",967,104,1,91,27,31,0.2980769230769231,1.1244186046511628,40.73,37.951347,-2.7786529999999985
"Total","tj","siwh1h06e8","EngagementRing","siwh1h06e8_EngagementRing_TriviaLibrary_Facebook_TJ","2025-10-01",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","siwh1nr062n","SeniorLifeInsurance","siwh1nr062n_SeniorLifeInsurance_RSOCs_KeywordFamilyTest_TJ","2025-10-05",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ",,0,0,0,2,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,1,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,1,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","sixc3zz06m9","RepairContractors","sixc3zz06m9_RepairContractors_0924_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ",,12720,1197,19,996,413,534,0.44611528822055135,1.1629182665935272,466.51,582.0273269329999,115.51732693299994
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-01",1078,106,12,97,31,35,0.330188679245283,1.1371308016877637,37.49,42.20762283820001,4.717622838200008
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-02",1193,125,1,129,45,53,0.424,1.154888673765731,44.66,61.2375907976,16.577590797600003
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-03",1574,162,2,138,62,84,0.5185185185185185,1.155653450807636,61.76,122.398286456,60.638286455999996
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-04",2021,194,1,149,73,103,0.5309278350515464,1.146341463414634,75.91,98.2995467852,22.389546785199997
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-05",2313,182,0,166,60,88,0.4835164835164835,1.1456166419019316,80.4,81.51907753619997,1.119077536199967
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-06",2366,224,2,176,79,96,0.42857142857142855,1.1919395465994962,85.16,94.5627745198,9.402774519800005
"Total","tj","siy91380673","GooglePixel","siy91380673_0908_GooglePixel_FB_TJ","2025-10-07",2175,204,1,141,63,75,0.36764705882352944,1.1898249452954048,81.13,81.80242799999999,0.6724279999999965
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siypbs0633","DigitalMarketingTraining","siypbs0633_DigitalMarketingTraining_0916_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siysic06av","HairRegrowth","siysic06av_0924_HairRegrowth_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ",,18054,1167,14,867,350,416,0.3564695801199657,1.120183657008128,370.18999999999994,509.3415140566,139.15151405660004
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-01",2537,151,1,129,49,59,0.39072847682119205,1.070915998311524,52.15,72.09419583819998,19.94419583819998
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-02",1748,107,1,73,25,30,0.2803738317757009,1.1098412698412699,34.01,36.913931999999996,2.9039319999999975
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-03",1946,111,5,73,29,33,0.2972972972972973,1.088975937325126,38.65,50.469608279999996,11.819608279999997
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-04",2705,191,1,136,53,69,0.3612565445026178,1.1947879858657244,57.26,86.81681029069998,29.55681029069998
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-05",3145,197,2,160,65,79,0.4010152284263959,1.1532819948661532,65.85,99.21295800000001,33.36295800000002
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-06",3073,204,3,161,61,66,0.3235294117647059,1.1046010064701655,62.86,72.0229153692,9.162915369200007
"Total","tj","siz71o306u2","COPDClinicalTrials","siz71o306u2_0915_COPDClinicalTrials_KnowledgeWarehouse_TJ","2025-10-07",2900,206,1,135,68,80,0.3883495145631068,1.109835438193647,59.41,91.8110942785,32.4010942785
